Iteration 1: c = ), s = , state = 0
Iteration 7980: c =  , s = ests, state = 9
Iteration 7981: c = (, s = rrrtes, state = 9
Iteration 7982: c = ), s = et, state = 9
Iteration 7983: c = }, s = , state = 9
Iteration 7984: c =  , s = , state = 9
Iteration 7985: c = {, s = ssrser, state = 9
Iteration 7986: c =  , s = s, state = 9
Iteration 7987: c = ), s = , state = 9
Iteration 7988: c = {, s = tres, state = 9
Iteration 7989: c = ), s = sesets, state = 9
Iteration 7990: c = a, s = r, state = 9
Iteration 7991: c = {, s = st, state = 9
Iteration 7992: c = {, s = , state = 9
Iteration 7993: c = {, s = , state = 9
Iteration 7994: c =  , s = ttrrst, state = 9
Iteration 7995: c = [, s = settre, state = 9
Iteration 7996: c = {, s = srrtte, state = 9
Iteration 7997: c = {, s = sesrrt, state = 9
Iteration 7998: c = [, s = tserrr, state = 9
Iteration 7999: c = ], s = , state = 9
Iteration 8000: c = [, s = ee, state = 9
Iteration 8001: c = {, s = t, state = 9
Iteration 8002: c =  , s = tr, state = 9
Iteration 8003: c = (, s = , state = 9
Iteration 8004: c = {, s = r, state = 9
Iteration 8005: c = ), s = e, state = 9
Iteration 8006: c = }, s = stestt, state = 9
Iteration 8007: c = a, s = srrt, state = 9
Iteration 8008: c = {, s = , state = 9
Iteration 8009: c = {, s = esrer, state = 9
Iteration 8010: c = [, s = , state = 9
Iteration 8011: c = ], s = , state = 9
Iteration 8012: c = ], s = , state = 9
Iteration 8013: c = (, s = rtrrrr, state = 9
Iteration 8014: c = {, s = e, state = 9
Iteration 8015: c = {, s = rerss, state = 9
Iteration 8016: c = ], s = sttsse, state = 9
Iteration 8017: c = [, s = trt, state = 9
Iteration 8018: c = (, s = rtsree, state = 9
Iteration 8019: c = }, s = , state = 9
Iteration 8020: c = ], s = e, state = 9
Iteration 8021: c = x, s = rer, state = 9
Iteration 8022: c = a, s = , state = 9
Iteration 8023: c = }, s = ttestt, state = 9
Iteration 8024: c = x, s = rstet, state = 9
Iteration 8025: c = ), s = sesset, state = 9
Iteration 8026: c = x, s = e, state = 9
Iteration 8027: c =  , s = tstsrr, state = 9
Iteration 8028: c = }, s = etseee, state = 9
Iteration 8029: c =  , s = stttte, state = 9
Iteration 8030: c = (, s = ettss, state = 9
Iteration 8031: c =  , s = tetsts, state = 9
Iteration 8032: c = (, s = tsstet, state = 9
Iteration 8033: c = (, s = ets, state = 9
Iteration 8034: c = }, s = , state = 9
Iteration 8035: c =  , s = , state = 9
Iteration 8036: c = ), s = , state = 9
Iteration 8037: c = ], s = tttrrr, state = 9
Iteration 8038: c = a, s = errte, state = 9
Iteration 8039: c = ), s = et, state = 9
Iteration 8040: c = (, s = eteees, state = 9
Iteration 8041: c = {, s = rsst, state = 9
Iteration 8042: c = {, s = sr, state = 9
Iteration 8043: c = ], s = eetsrs, state = 9
Iteration 8044: c = [, s = eersre, state = 9
Iteration 8045: c = ], s = e, state = 9
Iteration 8046: c = x, s = tt, state = 9
Iteration 8047: c = }, s = ttrrre, state = 9
Iteration 8048: c =  , s = tserre, state = 9
Iteration 8049: c = a, s = tseeet, state = 9
Iteration 8050: c = {, s = strr, state = 9
Iteration 8051: c = ], s = , state = 9
Iteration 8052: c = }, s = sts, state = 9
Iteration 8053: c = }, s = rrrr, state = 9
Iteration 8054: c =  , s = , state = 9
Iteration 8055: c =  , s = e, state = 9
Iteration 8056: c = x, s = t, state = 9
Iteration 8057: c = [, s = t, state = 9
Iteration 8058: c = ], s = ts, state = 9
Iteration 8059: c = [, s = erettt, state = 9
Iteration 8060: c = ], s = restts, state = 9
Iteration 8061: c = ], s = sete, state = 9
Iteration 8062: c = ), s = er, state = 9
Iteration 8063: c = x, s = rtrse, state = 9
Iteration 8064: c = a, s = tsttse, state = 9
Iteration 8065: c =  , s = , state = 9
Iteration 8066: c = (, s = et, state = 9
Iteration 8067: c = ), s = , state = 9
Iteration 8068: c = ], s = ertr, state = 9
Iteration 8069: c = x, s = r, state = 9
Iteration 8070: c = }, s = r, state = 9
Iteration 8071: c =  , s = , state = 9
Iteration 8072: c = [, s = rssete, state = 9
Iteration 8073: c = a, s = erer, state = 9
Iteration 8074: c = ], s = tsrtr, state = 9
Iteration 8075: c = a, s = , state = 9
Iteration 8076: c =  , s = , state = 9
Iteration 8077: c = x, s = tstrss, state = 9
Iteration 8078: c = ], s = ertre, state = 9
Iteration 8079: c = {, s = eree, state = 9
Iteration 8080: c = }, s = trtet, state = 9
Iteration 8081: c = (, s = t, state = 9
Iteration 8082: c =  , s = , state = 9
Iteration 8083: c = ), s = , state = 9
Iteration 8084: c = {, s = , state = 9
Iteration 8085: c = [, s = , state = 9
Iteration 8086: c = [, s = treess, state = 9
Iteration 8087: c =  , s = , state = 9
Iteration 8088: c = ), s = , state = 9
Iteration 8089: c = (, s = , state = 9
Iteration 8090: c = ), s = sre, state = 9
Iteration 8091: c = }, s = , state = 9
Iteration 8092: c = ), s = r, state = 9
Iteration 8093: c = [, s = re, state = 9
Iteration 8094: c = x, s = seterr, state = 9
Iteration 8095: c = [, s = e, state = 9
Iteration 8096: c = }, s = e, state = 9
Iteration 8097: c = (, s = , state = 9
Iteration 8098: c = ], s = tee, state = 9
Iteration 8099: c =  , s = etst, state = 9
Iteration 8100: c = {, s = eseett, state = 9
Iteration 8101: c = ), s = et, state = 9
Iteration 8102: c = (, s = t, state = 9
Iteration 8103: c =  , s = trss, state = 9
Iteration 8104: c =  , s = esrt, state = 9
Iteration 8105: c =  , s = st, state = 9
Iteration 8106: c = {, s = e, state = 9
Iteration 8107: c = ], s = etsttr, state = 9
Iteration 8108: c = a, s = t, state = 9
Iteration 8109: c = }, s = , state = 9
Iteration 8110: c = ), s = rrte, state = 9
Iteration 8111: c = ], s = reterr, state = 9
Iteration 8112: c = a, s = rrs, state = 9
Iteration 8113: c =  , s = trrtr, state = 9
Iteration 8114: c = }, s = r, state = 9
Iteration 8115: c = }, s = , state = 9
Iteration 8116: c = [, s = rsstt, state = 9
Iteration 8117: c = (, s = ts, state = 9
Iteration 8118: c = a, s = eetsts, state = 9
Iteration 8119: c = (, s = t, state = 9
Iteration 8120: c = (, s = rtrr, state = 9
Iteration 8121: c = a, s = eerrst, state = 9
Iteration 8122: c = a, s = , state = 9
Iteration 8123: c = ], s = , state = 9
Iteration 8124: c = x, s = ee, state = 9
Iteration 8125: c = {, s = ses, state = 9
Iteration 8126: c = [, s = , state = 9
Iteration 8127: c = }, s = , state = 9
Iteration 8128: c = }, s = , state = 9
Iteration 8129: c = {, s = eerses, state = 9
Iteration 8130: c = ), s = e, state = 9
Iteration 8131: c = x, s = tessts, state = 9
Iteration 8132: c = }, s = ettt, state = 9
Iteration 8133: c = x, s = rerret, state = 9
Iteration 8134: c = {, s = testre, state = 9
Iteration 8135: c = a, s = r, state = 9
Iteration 8136: c =  , s = ttsr, state = 9
Iteration 8137: c = a, s = , state = 9
Iteration 8138: c = {, s = e, state = 9
Iteration 8139: c = (, s = , state = 9
Iteration 8140: c = ), s = rtet, state = 9
Iteration 8141: c = a, s = sertr, state = 9
Iteration 8142: c = {, s = rr, state = 9
Iteration 8143: c = }, s = ssertt, state = 9
Iteration 8144: c = }, s = esrres, state = 9
Iteration 8145: c = {, s = reeesr, state = 9
Iteration 8146: c = }, s = sseee, state = 9
Iteration 8147: c = ), s = r, state = 9
Iteration 8148: c = {, s = retere, state = 9
Iteration 8149: c = [, s = r, state = 9
Iteration 8150: c = [, s = rstetr, state = 9
Iteration 8151: c = a, s = rs, state = 9
Iteration 8152: c = }, s = , state = 9
Iteration 8153: c = {, s = , state = 9
Iteration 8154: c = }, s = , state = 9
Iteration 8155: c = a, s = , state = 9
Iteration 8156: c = x, s = , state = 9
Iteration 8157: c = ), s = , state = 9
Iteration 8158: c = [, s = rtese, state = 9
Iteration 8159: c = {, s = re, state = 9
Iteration 8160: c = x, s = e, state = 9
Iteration 8161: c = ], s = , state = 9
Iteration 8162: c = a, s = rertsr, state = 9
Iteration 8163: c = ], s = sr, state = 9
Iteration 8164: c = x, s = rteeet, state = 9
Iteration 8165: c = a, s = t, state = 9
Iteration 8166: c = (, s = resre, state = 9
Iteration 8167: c = a, s = s, state = 9
Iteration 8168: c = [, s = rrttrs, state = 9
Iteration 8169: c = {, s = errs, state = 9
Iteration 8170: c = [, s = e, state = 9
Iteration 8171: c = }, s = tts, state = 9
Iteration 8172: c = }, s = e, state = 9
Iteration 8173: c = x, s = ssertr, state = 9
Iteration 8174: c = ], s = s, state = 9
Iteration 8175: c = (, s = , state = 9
Iteration 8176: c = }, s = erts, state = 9
Iteration 8177: c = ], s = ee, state = 9
Iteration 8178: c = [, s = , state = 9
Iteration 8179: c = {, s = , state = 9
Iteration 8180: c = {, s = rteetr, state = 9
Iteration 8181: c = ), s = , state = 9
Iteration 8182: c = x, s = tsrs, state = 9
Iteration 8183: c = x, s = e, state = 9
Iteration 8184: c = (, s = , state = 9
Iteration 8185: c = x, s = , state = 9
Iteration 8186: c = ), s = , state = 9
Iteration 8187: c = }, s = e, state = 9
Iteration 8188: c = a, s = , state = 9
Iteration 8189: c = x, s = e, state = 9
Iteration 8190: c = }, s = srerss, state = 9
Iteration 8191: c = ], s = t, state = 9
Iteration 8192: c = }, s = srsrre, state = 9
Iteration 8193: c = a, s = eess, state = 9
Iteration 8194: c = {, s = tstsst, state = 9
Iteration 8195: c = x, s = , state = 9
Iteration 8196: c = ], s = ssee, state = 9
Iteration 8197: c = a, s = , state = 9
Iteration 8198: c = ], s = , state = 9
Iteration 8199: c = }, s = , state = 9
Iteration 8200: c = x, s = teesse, state = 9
Iteration 8201: c = x, s = rt, state = 9
Iteration 8202: c = [, s = errttt, state = 9
Iteration 8203: c = [, s = rr, state = 9
Iteration 8204: c = (, s = rstest, state = 9
Iteration 8205: c = ), s = trre, state = 9
Iteration 8206: c = x, s = etttr, state = 9
Iteration 8207: c = ), s = tesr, state = 9
Iteration 8208: c = }, s = tttee, state = 9
Iteration 8209: c = {, s = , state = 9
Iteration 8210: c = a, s = tetses, state = 9
Iteration 8211: c = [, s = etersr, state = 9
Iteration 8212: c = ], s = rsstre, state = 9
Iteration 8213: c = a, s = strte, state = 9
Iteration 8214: c = ], s = seee, state = 9
Iteration 8215: c = x, s = tesrsr, state = 9
Iteration 8216: c = ), s = , state = 9
Iteration 8217: c = ], s = ees, state = 9
Iteration 8218: c = }, s = rsres, state = 9
Iteration 8219: c = }, s = rse, state = 9
Iteration 8220: c = x, s = es, state = 9
Iteration 8221: c = (, s = sset, state = 9
Iteration 8222: c = ], s = setese, state = 9
Iteration 8223: c = a, s = t, state = 9
Iteration 8224: c = }, s = , state = 9
Iteration 8225: c = x, s = , state = 9
Iteration 8226: c = ), s = , state = 9
Iteration 8227: c = x, s = st, state = 9
Iteration 8228: c = {, s = ss, state = 9
Iteration 8229: c =  , s = re, state = 9
Iteration 8230: c = }, s = r, state = 9
Iteration 8231: c = ], s = tr, state = 9
Iteration 8232: c = (, s = e, state = 9
Iteration 8233: c =  , s = rtstes, state = 9
Iteration 8234: c = {, s = eets, state = 9
Iteration 8235: c = x, s = rtt, state = 9
Iteration 8236: c = (, s = rtersr, state = 9
Iteration 8237: c = }, s = sr, state = 9
Iteration 8238: c = {, s = reesst, state = 9
Iteration 8239: c = (, s = tt, state = 9
Iteration 8240: c = (, s = tr, state = 9
Iteration 8241: c =  , s = rtsett, state = 9
Iteration 8242: c =  , s = serte, state = 9
Iteration 8243: c = ), s = ts, state = 9
Iteration 8244: c = ), s = s, state = 9
Iteration 8245: c = ], s = erse, state = 9
Iteration 8246: c = (, s = sr, state = 9
Iteration 8247: c = {, s = rr, state = 9
Iteration 8248: c = x, s = , state = 9
Iteration 8249: c = a, s = rr, state = 9
Iteration 8250: c = ], s = ttse, state = 9
Iteration 8251: c = a, s = s, state = 9
Iteration 8252: c = ], s = r, state = 9
Iteration 8253: c =  , s = ssstse, state = 9
Iteration 8254: c = (, s = etsr, state = 9
Iteration 8255: c = (, s = rr, state = 9
Iteration 8256: c = ], s = re, state = 9
Iteration 8257: c = x, s = treees, state = 9
Iteration 8258: c = (, s = , state = 9
Iteration 8259: c = a, s = reesrr, state = 9
Iteration 8260: c = x, s = , state = 9
Iteration 8261: c = ], s = tee, state = 9
Iteration 8262: c = (, s = , state = 9
Iteration 8263: c = ), s = rrrr, state = 9
Iteration 8264: c = ), s = , state = 9
Iteration 8265: c = [, s = rreers, state = 9
Iteration 8266: c = {, s = st, state = 9
Iteration 8267: c = ), s = te, state = 9
Iteration 8268: c = }, s = rrrsss, state = 9
Iteration 8269: c =  , s = stt, state = 9
Iteration 8270: c = ), s = teesrr, state = 9
Iteration 8271: c = [, s = , state = 9
Iteration 8272: c = a, s = e, state = 9
Iteration 8273: c = [, s = e, state = 9
Iteration 8274: c = {, s = e, state = 9
Iteration 8275: c = }, s = rrs, state = 9
Iteration 8276: c = ], s = ses, state = 9
Iteration 8277: c = ], s = esrer, state = 9
Iteration 8278: c = ], s = essess, state = 9
Iteration 8279: c =  , s = , state = 9
Iteration 8280: c = a, s = srsts, state = 9
Iteration 8281: c = {, s = , state = 9
Iteration 8282: c = a, s = sse, state = 9
Iteration 8283: c =  , s = resst, state = 9
Iteration 8284: c = ], s = ssst, state = 9
Iteration 8285: c =  , s = rse, state = 9
Iteration 8286: c = x, s = eet, state = 9
Iteration 8287: c = a, s = r, state = 9
Iteration 8288: c = a, s = ss, state = 9
Iteration 8289: c = x, s = , state = 9
Iteration 8290: c = a, s = tsessr, state = 9
Iteration 8291: c = {, s = rret, state = 9
Iteration 8292: c = (, s = eetsrs, state = 9
Iteration 8293: c = x, s = rs, state = 9
Iteration 8294: c = ), s = t, state = 9
Iteration 8295: c = a, s = ertrrt, state = 9
Iteration 8296: c = ], s = s, state = 9
Iteration 8297: c = {, s = , state = 9
Iteration 8298: c = }, s = , state = 9
Iteration 8299: c = ], s = rtt, state = 9
Iteration 8300: c = [, s = r, state = 9
Iteration 8301: c = x, s = t, state = 9
Iteration 8302: c = ], s = t, state = 9
Iteration 8303: c =  , s = trrttr, state = 9
Iteration 8304: c = a, s = , state = 9
Iteration 8305: c =  , s = tr, state = 9
Iteration 8306: c = x, s = tt, state = 9
Iteration 8307: c = (, s = reetrs, state = 9
Iteration 8308: c =  , s = , state = 9
Iteration 8309: c = {, s = , state = 9
Iteration 8310: c = }, s = essrre, state = 9
Iteration 8311: c = }, s = , state = 9
Iteration 8312: c =  , s = rtttrt, state = 9
Iteration 8313: c = {, s = , state = 9
Iteration 8314: c = (, s = rr, state = 9
Iteration 8315: c = ), s = tsrese, state = 9
Iteration 8316: c = }, s = , state = 9
Iteration 8317: c = ), s = ess, state = 9
Iteration 8318: c = ), s = r, state = 9
Iteration 8319: c =  , s = eett, state = 9
Iteration 8320: c = a, s = etrtst, state = 9
Iteration 8321: c = (, s = , state = 9
Iteration 8322: c = a, s = ss, state = 9
Iteration 8323: c = ), s = , state = 9
Iteration 8324: c = [, s = rrtett, state = 9
Iteration 8325: c =  , s = sret, state = 9
Iteration 8326: c = [, s = , state = 9
Iteration 8327: c = x, s = rts, state = 9
Iteration 8328: c = {, s = ers, state = 9
Iteration 8329: c = }, s = , state = 9
Iteration 8330: c = }, s = , state = 9
Iteration 8331: c = (, s = r, state = 9
Iteration 8332: c = ], s = ttes, state = 9
Iteration 8333: c = ], s = s, state = 9
Iteration 8334: c = ], s = trte, state = 9
Iteration 8335: c = [, s = tert, state = 9
Iteration 8336: c = (, s = t, state = 9
Iteration 8337: c = ), s = te, state = 9
Iteration 8338: c = {, s = tstrts, state = 9
Iteration 8339: c = {, s = et, state = 9
Iteration 8340: c = {, s = sssrts, state = 9
Iteration 8341: c = {, s = re, state = 9
Iteration 8342: c = {, s = rts, state = 9
Iteration 8343: c = }, s = tttsrs, state = 9
Iteration 8344: c = [, s = tsss, state = 9
Iteration 8345: c =  , s = sree, state = 9
Iteration 8346: c =  , s = e, state = 9
Iteration 8347: c = }, s = stssre, state = 9
Iteration 8348: c = x, s = r, state = 9
Iteration 8349: c = ), s = sr, state = 9
Iteration 8350: c = x, s = sts, state = 9
Iteration 8351: c = [, s = , state = 9
Iteration 8352: c = [, s = rretst, state = 9
Iteration 8353: c =  , s = , state = 9
Iteration 8354: c = ], s = et, state = 9
Iteration 8355: c = {, s = etetrt, state = 9
Iteration 8356: c = }, s = s, state = 9
Iteration 8357: c = (, s = r, state = 9
Iteration 8358: c = [, s = es, state = 9
Iteration 8359: c =  , s = , state = 9
Iteration 8360: c = a, s = estst, state = 9
Iteration 8361: c = x, s = erersr, state = 9
Iteration 8362: c = }, s = eeee, state = 9
Iteration 8363: c = ), s = , state = 9
Iteration 8364: c = }, s = str, state = 9
Iteration 8365: c = a, s = t, state = 9
Iteration 8366: c = [, s = rrteer, state = 9
Iteration 8367: c = [, s = r, state = 9
Iteration 8368: c = {, s = e, state = 9
Iteration 8369: c = (, s = , state = 9
Iteration 8370: c = ], s = essesr, state = 9
Iteration 8371: c = {, s = strses, state = 9
Iteration 8372: c = {, s = ett, state = 9
Iteration 8373: c =  , s = s, state = 9
Iteration 8374: c = ), s = ss, state = 9
Iteration 8375: c = [, s = ettrsr, state = 9
Iteration 8376: c = [, s = ssesre, state = 9
Iteration 8377: c =  , s = eesr, state = 9
Iteration 8378: c = ], s = , state = 9
Iteration 8379: c = {, s = , state = 9
Iteration 8380: c = ], s = ssr, state = 9
Iteration 8381: c = {, s = eertts, state = 9
Iteration 8382: c = x, s = ssstst, state = 9
Iteration 8383: c = x, s = tsrset, state = 9
Iteration 8384: c = (, s = ettte, state = 9
Iteration 8385: c = }, s = ets, state = 9
Iteration 8386: c = (, s = srtrse, state = 9
Iteration 8387: c = }, s = , state = 9
Iteration 8388: c = x, s = , state = 9
Iteration 8389: c = }, s = , state = 9
Iteration 8390: c = }, s = , state = 9
Iteration 8391: c = ), s = tsr, state = 9
Iteration 8392: c =  , s = rss, state = 9
Iteration 8393: c =  , s = , state = 9
Iteration 8394: c = ], s = r, state = 9
Iteration 8395: c = x, s = st, state = 9
Iteration 8396: c = ), s = , state = 9
Iteration 8397: c = x, s = etr, state = 9
Iteration 8398: c = [, s = eeer, state = 9
Iteration 8399: c = x, s = , state = 9
Iteration 8400: c = ), s = eertse, state = 9
Iteration 8401: c = (, s = rrtr, state = 9
Iteration 8402: c = {, s = , state = 9
Iteration 8403: c = ], s = , state = 9
Iteration 8404: c = ), s = r, state = 9
Iteration 8405: c = [, s = r, state = 9
Iteration 8406: c = {, s = rsr, state = 9
Iteration 8407: c = ], s = tssss, state = 9
Iteration 8408: c = ), s = , state = 9
Iteration 8409: c = }, s = , state = 9
Iteration 8410: c = x, s = , state = 9
Iteration 8411: c = x, s = eert, state = 9
Iteration 8412: c =  , s = etttts, state = 9
Iteration 8413: c = ], s = , state = 9
Iteration 8414: c =  , s = ese, state = 9
Iteration 8415: c = a, s = trtt, state = 9
Iteration 8416: c =  , s = rrtrts, state = 9
Iteration 8417: c = [, s = te, state = 9
Iteration 8418: c =  , s = sss, state = 9
Iteration 8419: c = ), s = e, state = 9
Iteration 8420: c = ], s = ss, state = 9
Iteration 8421: c = [, s = tr, state = 9
Iteration 8422: c = ], s = ett, state = 9
Iteration 8423: c = [, s = trtrt, state = 9
Iteration 8424: c = x, s = tesese, state = 9
Iteration 8425: c = ], s = , state = 9
Iteration 8426: c = (, s = er, state = 9
Iteration 8427: c = x, s = te, state = 9
Iteration 8428: c = }, s = ttrsrs, state = 9
Iteration 8429: c = x, s = ssetee, state = 9
Iteration 8430: c = }, s = srr, state = 9
Iteration 8431: c = ), s = , state = 9
Iteration 8432: c = ], s = , state = 9
Iteration 8433: c =  , s = errste, state = 9
Iteration 8434: c = (, s = tesers, state = 9
Iteration 8435: c = a, s = tster, state = 9
Iteration 8436: c =  , s = , state = 9
Iteration 8437: c = (, s = , state = 9
Iteration 8438: c = x, s = reett, state = 9
Iteration 8439: c = ), s = , state = 9
Iteration 8440: c =  , s = t, state = 9
Iteration 8441: c = {, s = , state = 9
Iteration 8442: c =  , s = , state = 9
Iteration 8443: c = }, s = , state = 9
Iteration 8444: c = ], s = e, state = 9
Iteration 8445: c = ], s = , state = 9
Iteration 8446: c = [, s = er, state = 9
Iteration 8447: c = [, s = serrst, state = 9
Iteration 8448: c =  , s = rssste, state = 9
Iteration 8449: c = {, s = , state = 9
Iteration 8450: c = a, s = rtse, state = 9
Iteration 8451: c = a, s = r, state = 9
Iteration 8452: c = {, s = strert, state = 9
Iteration 8453: c = [, s = rtt, state = 9
Iteration 8454: c = (, s = s, state = 9
Iteration 8455: c = ], s = t, state = 9
Iteration 8456: c = {, s = , state = 9
Iteration 8457: c = }, s = sr, state = 9
Iteration 8458: c = (, s = , state = 9
Iteration 8459: c = {, s = eerr, state = 9
Iteration 8460: c =  , s = , state = 9
Iteration 8461: c = [, s = se, state = 9
Iteration 8462: c = ), s = rtsrte, state = 9
Iteration 8463: c = ], s = , state = 9
Iteration 8464: c = x, s = estt, state = 9
Iteration 8465: c = [, s = , state = 9
Iteration 8466: c = x, s = , state = 9
Iteration 8467: c = ], s = , state = 9
Iteration 8468: c = x, s = , state = 9
Iteration 8469: c = ), s = treset, state = 9
Iteration 8470: c = ), s = , state = 9
Iteration 8471: c = x, s = trrese, state = 9
Iteration 8472: c = a, s = ete, state = 9
Iteration 8473: c = ], s = ts, state = 9
Iteration 8474: c = a, s = , state = 9
Iteration 8475: c = ], s = r, state = 9
Iteration 8476: c = ], s = t, state = 9
Iteration 8477: c = a, s = ss, state = 9
Iteration 8478: c = (, s = s, state = 9
Iteration 8479: c =  , s = rrerse, state = 9
Iteration 8480: c = x, s = t, state = 9
Iteration 8481: c = [, s = , state = 9
Iteration 8482: c = [, s = tttete, state = 9
Iteration 8483: c = a, s = rrtret, state = 9
Iteration 8484: c = ), s = , state = 9
Iteration 8485: c = [, s = er, state = 9
Iteration 8486: c = [, s = reetrt, state = 9
Iteration 8487: c = [, s = ttt, state = 9
Iteration 8488: c = (, s = e, state = 9
Iteration 8489: c = }, s = , state = 9
Iteration 8490: c = }, s = te, state = 9
Iteration 8491: c = ], s = tesssr, state = 9
Iteration 8492: c = x, s = , state = 9
Iteration 8493: c = x, s = e, state = 9
Iteration 8494: c = x, s = , state = 9
Iteration 8495: c = [, s = , state = 9
Iteration 8496: c = x, s = tt, state = 9
Iteration 8497: c = [, s = t, state = 9
Iteration 8498: c =  , s = tetstr, state = 9
Iteration 8499: c = a, s = rss, state = 9
Iteration 8500: c = (, s = rtet, state = 9
Iteration 8501: c = x, s = s, state = 9
Iteration 8502: c = }, s = , state = 9
Iteration 8503: c = {, s = rertts, state = 9
Iteration 8504: c = ), s = setstt, state = 9
Iteration 8505: c = [, s = , state = 9
Iteration 8506: c = ), s = tesert, state = 9
Iteration 8507: c =  , s = rertsr, state = 9
Iteration 8508: c = {, s = re, state = 9
Iteration 8509: c = ], s = srstes, state = 9
Iteration 8510: c = (, s = srrr, state = 9
Iteration 8511: c = }, s = sses, state = 9
Iteration 8512: c = {, s = trsesr, state = 9
Iteration 8513: c =  , s = teee, state = 9
Iteration 8514: c = {, s = , state = 9
Iteration 8515: c = (, s = , state = 9
Iteration 8516: c = x, s = , state = 9
Iteration 8517: c = (, s = e, state = 9
Iteration 8518: c = ], s = sttrr, state = 9
Iteration 8519: c = x, s = sterst, state = 9
Iteration 8520: c = (, s = esrtst, state = 9
Iteration 8521: c = {, s = , state = 9
Iteration 8522: c = }, s = , state = 9
Iteration 8523: c = a, s = r, state = 9
Iteration 8524: c = {, s = sr, state = 9
Iteration 8525: c = (, s = ts, state = 9
Iteration 8526: c = x, s = rsr, state = 9
Iteration 8527: c = (, s = eeeere, state = 9
Iteration 8528: c = (, s = esrre, state = 9
Iteration 8529: c = }, s = , state = 9
Iteration 8530: c = a, s = sesss, state = 9
Iteration 8531: c = ], s = ttsts, state = 9
Iteration 8532: c = ), s = ertss, state = 9
Iteration 8533: c = ), s = trrsrr, state = 9
Iteration 8534: c = [, s = e, state = 9
Iteration 8535: c =  , s = res, state = 9
Iteration 8536: c = {, s = sst, state = 9
Iteration 8537: c = [, s = rsette, state = 9
Iteration 8538: c = [, s = , state = 9
Iteration 8539: c = x, s = sseets, state = 9
Iteration 8540: c = x, s = reeste, state = 9
Iteration 8541: c = ), s = rt, state = 9
Iteration 8542: c = ), s = tt, state = 9
Iteration 8543: c = a, s = srtttt, state = 9
Iteration 8544: c =  , s = s, state = 9
Iteration 8545: c = ), s = sr, state = 9
Iteration 8546: c = (, s = tesrtr, state = 9
Iteration 8547: c = (, s = rssssr, state = 9
Iteration 8548: c = {, s = rtessr, state = 9
Iteration 8549: c = a, s = stst, state = 9
Iteration 8550: c = ], s = eesret, state = 9
Iteration 8551: c = [, s = r, state = 9
Iteration 8552: c = ), s = , state = 9
Iteration 8553: c = ), s = rrte, state = 9
Iteration 8554: c =  , s = ee, state = 9
Iteration 8555: c = a, s = ess, state = 9
Iteration 8556: c =  , s = etrttt, state = 9
Iteration 8557: c =  , s = se, state = 9
Iteration 8558: c =  , s = r, state = 9
Iteration 8559: c = {, s = e, state = 9
Iteration 8560: c = ), s = s, state = 9
Iteration 8561: c =  , s = esr, state = 9
Iteration 8562: c = ], s = tr, state = 9
Iteration 8563: c = ], s = , state = 9
Iteration 8564: c = [, s = rr, state = 9
Iteration 8565: c = (, s = tstrre, state = 9
Iteration 8566: c =  , s = s, state = 9
Iteration 8567: c = [, s = sttrrt, state = 9
Iteration 8568: c = }, s = tss, state = 9
Iteration 8569: c = (, s = , state = 9
Iteration 8570: c = a, s = s, state = 9
Iteration 8571: c = a, s = t, state = 9
Iteration 8572: c = (, s = eterrs, state = 9
Iteration 8573: c = }, s = e, state = 9
Iteration 8574: c = [, s = tes, state = 9
Iteration 8575: c =  , s = , state = 9
Iteration 8576: c = x, s = eet, state = 9
Iteration 8577: c = [, s = res, state = 9
Iteration 8578: c = ), s = eeesss, state = 9
Iteration 8579: c = ), s = res, state = 9
Iteration 8580: c = ], s = stttr, state = 9
Iteration 8581: c = {, s = rstst, state = 9
Iteration 8582: c = [, s = sretee, state = 9
Iteration 8583: c =  , s = , state = 9
Iteration 8584: c = x, s = ssetrs, state = 9
Iteration 8585: c = }, s = stte, state = 9
Iteration 8586: c = ), s = ssetss, state = 9
Iteration 8587: c = x, s = , state = 9
Iteration 8588: c = x, s = tseert, state = 9
Iteration 8589: c = a, s = re, state = 9
Iteration 8590: c = [, s = s, state = 9
Iteration 8591: c =  , s = ere, state = 9
Iteration 8592: c = [, s = tet, state = 9
Iteration 8593: c = (, s = ttsttt, state = 9
Iteration 8594: c = a, s = r, state = 9
Iteration 8595: c = (, s = r, state = 9
Iteration 8596: c = {, s = sere, state = 9
Iteration 8597: c = (, s = srtetr, state = 9
Iteration 8598: c = ), s = tett, state = 9
Iteration 8599: c = {, s = rt, state = 9
Iteration 8600: c = }, s = retsse, state = 9
Iteration 8601: c = ], s = rtsete, state = 9
Iteration 8602: c = ), s = t, state = 9
Iteration 8603: c = }, s = sesers, state = 9
Iteration 8604: c = }, s = et, state = 9
Iteration 8605: c = x, s = , state = 9
Iteration 8606: c = ), s = ersr, state = 9
Iteration 8607: c = ), s = ee, state = 9
Iteration 8608: c = x, s = e, state = 9
Iteration 8609: c = ], s = , state = 9
Iteration 8610: c =  , s = ee, state = 9
Iteration 8611: c = x, s = rtert, state = 9
Iteration 8612: c = ), s = rrerss, state = 9
Iteration 8613: c = {, s = r, state = 9
Iteration 8614: c =  , s = , state = 9
Iteration 8615: c = x, s = sstert, state = 9
Iteration 8616: c =  , s = eter, state = 9
Iteration 8617: c = ), s = s, state = 9
Iteration 8618: c = {, s = rt, state = 9
Iteration 8619: c = ), s = trree, state = 9
