Iteration 1: c = [, s = ettrte, state = 0
Iteration 1318: c =  , s = esss, state = 9
Iteration 1319: c =  , s = s, state = 9
Iteration 1320: c = }, s = , state = 9
Iteration 1321: c = [, s = es, state = 9
Iteration 1322: c = x, s = , state = 9
Iteration 1323: c = [, s = ttrs, state = 9
Iteration 1324: c = a, s = estt, state = 9
Iteration 1325: c = {, s = ssest, state = 9
Iteration 1326: c = a, s = sststr, state = 9
Iteration 1327: c = (, s = reeete, state = 9
Iteration 1328: c = (, s = s, state = 9
Iteration 1329: c = ], s = rs, state = 9
Iteration 1330: c = [, s = ts, state = 9
Iteration 1331: c =  , s = s, state = 9
Iteration 1332: c = a, s = eesrts, state = 9
Iteration 1333: c = [, s = rt, state = 9
Iteration 1334: c = a, s = sttree, state = 9
Iteration 1335: c =  , s = t, state = 9
Iteration 1336: c = {, s = , state = 9
Iteration 1337: c = ], s = rter, state = 9
Iteration 1338: c = ), s = t, state = 9
Iteration 1339: c = ), s = s, state = 9
Iteration 1340: c = {, s = rt, state = 9
Iteration 1341: c = x, s = r, state = 9
Iteration 1342: c = {, s = t, state = 9
Iteration 1343: c = [, s = strtet, state = 9
Iteration 1344: c = {, s = , state = 9
Iteration 1345: c = (, s = srtss, state = 9
Iteration 1346: c = x, s = trerst, state = 9
Iteration 1347: c = ), s = te, state = 9
Iteration 1348: c = (, s = s, state = 9
Iteration 1349: c = [, s = ets, state = 9
Iteration 1350: c = a, s = sr, state = 9
Iteration 1351: c =  , s = sttese, state = 9
Iteration 1352: c = x, s = ee, state = 9
Iteration 1353: c = ], s = e, state = 9
Iteration 1354: c =  , s = rts, state = 9
Iteration 1355: c = {, s = , state = 9
Iteration 1356: c = x, s = sr, state = 9
Iteration 1357: c = }, s = te, state = 9
Iteration 1358: c = }, s = ee, state = 9
Iteration 1359: c = ), s = , state = 9
Iteration 1360: c =  , s = strte, state = 9
Iteration 1361: c = a, s = s, state = 9
Iteration 1362: c = ), s = , state = 9
Iteration 1363: c = ), s = srstsr, state = 9
Iteration 1364: c = }, s = , state = 9
Iteration 1365: c = x, s = ss, state = 9
Iteration 1366: c = (, s = ees, state = 9
Iteration 1367: c = }, s = tesre, state = 9
Iteration 1368: c = [, s = ss, state = 9
Iteration 1369: c = ), s = ete, state = 9
Iteration 1370: c = x, s = , state = 9
Iteration 1371: c = ), s = , state = 9
Iteration 1372: c = [, s = s, state = 9
Iteration 1373: c = [, s = ts, state = 9
Iteration 1374: c = }, s = , state = 9
Iteration 1375: c = a, s = t, state = 9
Iteration 1376: c = ), s = , state = 9
Iteration 1377: c = ), s = esrsts, state = 9
Iteration 1378: c = a, s = t, state = 9
Iteration 1379: c = [, s = , state = 9
Iteration 1380: c = a, s = rs, state = 9
Iteration 1381: c = a, s = et, state = 9
Iteration 1382: c = }, s = ters, state = 9
Iteration 1383: c = (, s = tse, state = 9
Iteration 1384: c = ], s = etrre, state = 9
Iteration 1385: c = x, s = s, state = 9
Iteration 1386: c = }, s = sttrre, state = 9
Iteration 1387: c = a, s = , state = 9
Iteration 1388: c = ), s = etrssr, state = 9
Iteration 1389: c =  , s = ssrttr, state = 9
Iteration 1390: c = {, s = ests, state = 9
Iteration 1391: c = ), s = srrett, state = 9
Iteration 1392: c = ], s = e, state = 9
Iteration 1393: c = [, s = tssr, state = 9
Iteration 1394: c = (, s = t, state = 9
Iteration 1395: c = {, s = tereet, state = 9
Iteration 1396: c = }, s = s, state = 9
Iteration 1397: c = (, s = etster, state = 9
Iteration 1398: c = [, s = e, state = 9
Iteration 1399: c = x, s = s, state = 9
Iteration 1400: c =  , s = eetsrr, state = 9
Iteration 1401: c =  , s = ressse, state = 9
Iteration 1402: c = ), s = , state = 9
Iteration 1403: c = (, s = , state = 9
Iteration 1404: c = {, s = , state = 9
Iteration 1405: c = ], s = seeest, state = 9
Iteration 1406: c = x, s = , state = 9
Iteration 1407: c = [, s = ss, state = 9
Iteration 1408: c = [, s = sert, state = 9
Iteration 1409: c = a, s = teeese, state = 9
Iteration 1410: c = ), s = rrs, state = 9
Iteration 1411: c = a, s = , state = 9
Iteration 1412: c = {, s = sse, state = 9
Iteration 1413: c = a, s = r, state = 9
Iteration 1414: c = a, s = st, state = 9
Iteration 1415: c = {, s = , state = 9
Iteration 1416: c = a, s = e, state = 9
Iteration 1417: c = ], s = s, state = 9
Iteration 1418: c = ], s = rt, state = 9
Iteration 1419: c = ), s = t, state = 9
Iteration 1420: c = x, s = stsses, state = 9
Iteration 1421: c = ], s = rrrtt, state = 9
Iteration 1422: c = x, s = tettte, state = 9
Iteration 1423: c = x, s = , state = 9
Iteration 1424: c = }, s = s, state = 9
Iteration 1425: c = ), s = , state = 9
Iteration 1426: c = (, s = sttsr, state = 9
Iteration 1427: c = a, s = er, state = 9
Iteration 1428: c = {, s = e, state = 9
Iteration 1429: c = (, s = trests, state = 9
Iteration 1430: c = ], s = e, state = 9
Iteration 1431: c = x, s = , state = 9
Iteration 1432: c = ), s = sts, state = 9
Iteration 1433: c =  , s = s, state = 9
Iteration 1434: c = x, s = esesrs, state = 9
Iteration 1435: c = ), s = , state = 9
Iteration 1436: c = }, s = srte, state = 9
Iteration 1437: c = ], s = rres, state = 9
Iteration 1438: c = ], s = rsteer, state = 9
Iteration 1439: c = ), s = ret, state = 9
Iteration 1440: c = a, s = s, state = 9
Iteration 1441: c = [, s = ette, state = 9
Iteration 1442: c = ), s = stssee, state = 9
Iteration 1443: c = x, s = est, state = 9
Iteration 1444: c = a, s = , state = 9
Iteration 1445: c = a, s = , state = 9
Iteration 1446: c = x, s = , state = 9
Iteration 1447: c = [, s = srs, state = 9
Iteration 1448: c = }, s = rts, state = 9
Iteration 1449: c =  , s = srrtsr, state = 9
Iteration 1450: c = }, s = rse, state = 9
Iteration 1451: c = a, s = treees, state = 9
Iteration 1452: c = ], s = stee, state = 9
Iteration 1453: c = [, s = , state = 9
Iteration 1454: c = a, s = rreeee, state = 9
Iteration 1455: c =  , s = etsrt, state = 9
Iteration 1456: c = (, s = rtt, state = 9
Iteration 1457: c = (, s = r, state = 9
Iteration 1458: c = [, s = ettett, state = 9
Iteration 1459: c = ], s = ssese, state = 9
Iteration 1460: c =  , s = treett, state = 9
Iteration 1461: c = ), s = , state = 9
Iteration 1462: c = x, s = r, state = 9
Iteration 1463: c = [, s = rtterr, state = 9
Iteration 1464: c = (, s = rs, state = 9
Iteration 1465: c =  , s = e, state = 9
Iteration 1466: c = x, s = rr, state = 9
Iteration 1467: c = {, s = t, state = 9
Iteration 1468: c = {, s = , state = 9
Iteration 1469: c = {, s = tsstre, state = 9
Iteration 1470: c = {, s = s, state = 9
Iteration 1471: c = x, s = s, state = 9
Iteration 1472: c = ), s = , state = 9
Iteration 1473: c = {, s = sssr, state = 9
Iteration 1474: c = a, s = s, state = 9
Iteration 1475: c = {, s = re, state = 9
Iteration 1476: c = a, s = esttts, state = 9
Iteration 1477: c = ), s = , state = 9
Iteration 1478: c =  , s = eee, state = 9
Iteration 1479: c = ], s = e, state = 9
Iteration 1480: c = ], s = r, state = 9
Iteration 1481: c = (, s = , state = 9
Iteration 1482: c = }, s = erts, state = 9
Iteration 1483: c = (, s = eetser, state = 9
Iteration 1484: c = ), s = srte, state = 9
Iteration 1485: c = x, s = ttteee, state = 9
Iteration 1486: c = a, s = tssrt, state = 9
Iteration 1487: c =  , s = etrert, state = 9
Iteration 1488: c = a, s = ertsrs, state = 9
Iteration 1489: c = ), s = tsss, state = 9
Iteration 1490: c = (, s = , state = 9
Iteration 1491: c = (, s = , state = 9
Iteration 1492: c = [, s = st, state = 9
Iteration 1493: c =  , s = , state = 9
Iteration 1494: c = [, s = trs, state = 9
Iteration 1495: c = (, s = es, state = 9
Iteration 1496: c = ), s = t, state = 9
Iteration 1497: c =  , s = ess, state = 9
Iteration 1498: c = {, s = , state = 9
Iteration 1499: c = (, s = r, state = 9
Iteration 1500: c = x, s = r, state = 9
Iteration 1501: c = a, s = , state = 9
Iteration 1502: c = ), s = , state = 9
Iteration 1503: c = ), s = srest, state = 9
Iteration 1504: c =  , s = rsrtrs, state = 9
Iteration 1505: c =  , s = ete, state = 9
Iteration 1506: c = ], s = , state = 9
Iteration 1507: c =  , s = ets, state = 9
Iteration 1508: c = [, s = rettrt, state = 9
Iteration 1509: c = (, s = tetere, state = 9
Iteration 1510: c = (, s = e, state = 9
Iteration 1511: c = ), s = te, state = 9
Iteration 1512: c = x, s = erreee, state = 9
Iteration 1513: c =  , s = rrrrs, state = 9
Iteration 1514: c = [, s = etrstr, state = 9
Iteration 1515: c = (, s = tsest, state = 9
Iteration 1516: c = {, s = r, state = 9
Iteration 1517: c =  , s = rett, state = 9
Iteration 1518: c = ), s = tsrrse, state = 9
Iteration 1519: c = ), s = re, state = 9
Iteration 1520: c = [, s = , state = 9
Iteration 1521: c = [, s = sess, state = 9
Iteration 1522: c = [, s = etetrs, state = 9
Iteration 1523: c = (, s = s, state = 9
Iteration 1524: c = a, s = s, state = 9
Iteration 1525: c = ), s = t, state = 9
Iteration 1526: c = [, s = etee, state = 9
Iteration 1527: c = }, s = r, state = 9
Iteration 1528: c = a, s = ee, state = 9
Iteration 1529: c = [, s = tet, state = 9
Iteration 1530: c = a, s = , state = 9
Iteration 1531: c = }, s = reettr, state = 9
Iteration 1532: c = ], s = ssrs, state = 9
Iteration 1533: c = ], s = stset, state = 9
Iteration 1534: c =  , s = tr, state = 9
Iteration 1535: c =  , s = , state = 9
Iteration 1536: c = x, s = rste, state = 9
Iteration 1537: c = (, s = s, state = 9
Iteration 1538: c = [, s = r, state = 9
Iteration 1539: c =  , s = rtrstr, state = 9
Iteration 1540: c = ), s = teettt, state = 9
Iteration 1541: c = {, s = sttts, state = 9
Iteration 1542: c = ), s = sers, state = 9
Iteration 1543: c = x, s = ssesrr, state = 9
Iteration 1544: c = a, s = , state = 9
Iteration 1545: c = ), s = ersrt, state = 9
Iteration 1546: c = [, s = rr, state = 9
Iteration 1547: c = [, s = r, state = 9
Iteration 1548: c = a, s = , state = 9
Iteration 1549: c = [, s = st, state = 9
Iteration 1550: c =  , s = tt, state = 9
Iteration 1551: c = [, s = rtsre, state = 9
Iteration 1552: c = (, s = tersrs, state = 9
Iteration 1553: c = }, s = teeerr, state = 9
Iteration 1554: c = ], s = eetet, state = 9
Iteration 1555: c = ], s = sr, state = 9
Iteration 1556: c = a, s = e, state = 9
Iteration 1557: c = ], s = , state = 9
Iteration 1558: c = ), s = e, state = 9
Iteration 1559: c = x, s = , state = 9
Iteration 1560: c = }, s = tstts, state = 9
Iteration 1561: c =  , s = er, state = 9
Iteration 1562: c = a, s = ese, state = 9
Iteration 1563: c =  , s = tr, state = 9
Iteration 1564: c = }, s = , state = 9
Iteration 1565: c = x, s = t, state = 9
Iteration 1566: c = {, s = t, state = 9
Iteration 1567: c = }, s = rttets, state = 9
Iteration 1568: c = a, s = ett, state = 9
Iteration 1569: c = a, s = , state = 9
Iteration 1570: c = ), s = sse, state = 9
Iteration 1571: c = {, s = tsseer, state = 9
Iteration 1572: c =  , s = es, state = 9
Iteration 1573: c = {, s = e, state = 9
Iteration 1574: c = [, s = , state = 9
Iteration 1575: c = {, s = t, state = 9
Iteration 1576: c = a, s = , state = 9
Iteration 1577: c = (, s = eettrr, state = 9
Iteration 1578: c = {, s = , state = 9
Iteration 1579: c = ], s = rsser, state = 9
Iteration 1580: c = (, s = strtee, state = 9
Iteration 1581: c = {, s = , state = 9
Iteration 1582: c = }, s = re, state = 9
Iteration 1583: c =  , s = , state = 9
Iteration 1584: c = x, s = tsresr, state = 9
Iteration 1585: c = (, s = , state = 9
Iteration 1586: c = (, s = , state = 9
Iteration 1587: c = (, s = s, state = 9
Iteration 1588: c = ), s = s, state = 9
Iteration 1589: c = ), s = , state = 9
Iteration 1590: c = ), s = er, state = 9
Iteration 1591: c = a, s = esrstt, state = 9
Iteration 1592: c = ), s = sse, state = 9
Iteration 1593: c = (, s = rtt, state = 9
Iteration 1594: c = a, s = teerst, state = 9
Iteration 1595: c = x, s = teersr, state = 9
Iteration 1596: c = x, s = etstrs, state = 9
Iteration 1597: c = x, s = r, state = 9
Iteration 1598: c = ), s = steere, state = 9
Iteration 1599: c = a, s = streee, state = 9
Iteration 1600: c = a, s = , state = 9
Iteration 1601: c = [, s = sseet, state = 9
Iteration 1602: c = (, s = rrs, state = 9
Iteration 1603: c =  , s = , state = 9
Iteration 1604: c = (, s = eett, state = 9
Iteration 1605: c = ), s = et, state = 9
Iteration 1606: c = ], s = e, state = 9
Iteration 1607: c = a, s = rrtrtt, state = 9
Iteration 1608: c =  , s = tt, state = 9
Iteration 1609: c = ), s = tstte, state = 9
Iteration 1610: c = {, s = s, state = 9
Iteration 1611: c = ], s = , state = 9
Iteration 1612: c = ], s = er, state = 9
Iteration 1613: c = {, s = t, state = 9
Iteration 1614: c = (, s = srr, state = 9
Iteration 1615: c = ), s = et, state = 9
Iteration 1616: c = ], s = srrttt, state = 9
Iteration 1617: c = x, s = eees, state = 9
Iteration 1618: c =  , s = tr, state = 9
Iteration 1619: c = a, s = e, state = 9
Iteration 1620: c = [, s = tetrrt, state = 9
Iteration 1621: c = (, s = t, state = 9
Iteration 1622: c = x, s = , state = 9
Iteration 1623: c = x, s = e, state = 9
Iteration 1624: c = x, s = s, state = 9
Iteration 1625: c = a, s = , state = 9
Iteration 1626: c = x, s = tesste, state = 9
Iteration 1627: c = ), s = eeter, state = 9
Iteration 1628: c = a, s = teeett, state = 9
Iteration 1629: c = {, s = sssrte, state = 9
Iteration 1630: c =  , s = , state = 9
Iteration 1631: c = a, s = ttrett, state = 9
Iteration 1632: c = {, s = ttrtte, state = 9
Iteration 1633: c = {, s = , state = 9
Iteration 1634: c = [, s = tt, state = 9
Iteration 1635: c = }, s = etts, state = 9
Iteration 1636: c = {, s = et, state = 9
Iteration 1637: c = [, s = e, state = 9
Iteration 1638: c = (, s = , state = 9
Iteration 1639: c = a, s = e, state = 9
Iteration 1640: c = [, s = rttsst, state = 9
Iteration 1641: c = ), s = , state = 9
Iteration 1642: c = ], s = , state = 9
Iteration 1643: c = x, s = s, state = 9
Iteration 1644: c = x, s = re, state = 9
Iteration 1645: c = [, s = etttes, state = 9
Iteration 1646: c = [, s = er, state = 9
Iteration 1647: c = ], s = ss, state = 9
Iteration 1648: c = a, s = , state = 9
Iteration 1649: c = {, s = s, state = 9
Iteration 1650: c = ), s = reeret, state = 9
Iteration 1651: c = ), s = rere, state = 9
Iteration 1652: c = ], s = tesses, state = 9
Iteration 1653: c = {, s = , state = 9
Iteration 1654: c = ), s = sseess, state = 9
Iteration 1655: c = }, s = ssse, state = 9
Iteration 1656: c = {, s = rrttes, state = 9
Iteration 1657: c = }, s = e, state = 9
Iteration 1658: c = {, s = eer, state = 9
Iteration 1659: c =  , s = tr, state = 9
Iteration 1660: c = [, s = tertrt, state = 9
Iteration 1661: c = ), s = ert, state = 9
Iteration 1662: c = ), s = , state = 9
Iteration 1663: c = ], s = er, state = 9
Iteration 1664: c = (, s = erstrs, state = 9
Iteration 1665: c = ], s = sstsss, state = 9
Iteration 1666: c = ], s = er, state = 9
Iteration 1667: c = [, s = tr, state = 9
Iteration 1668: c = ), s = rersr, state = 9
Iteration 1669: c = (, s = srr, state = 9
Iteration 1670: c = ), s = tseret, state = 9
Iteration 1671: c = }, s = , state = 9
Iteration 1672: c = a, s = , state = 9
Iteration 1673: c = ), s = , state = 9
Iteration 1674: c = a, s = r, state = 9
Iteration 1675: c = x, s = ee, state = 9
Iteration 1676: c = (, s = eee, state = 9
Iteration 1677: c =  , s = , state = 9
Iteration 1678: c = ), s = sstete, state = 9
Iteration 1679: c = ], s = rtsrte, state = 9
Iteration 1680: c = }, s = , state = 9
Iteration 1681: c = ), s = ssestt, state = 9
Iteration 1682: c = ), s = estst, state = 9
Iteration 1683: c = ), s = r, state = 9
Iteration 1684: c = a, s = srere, state = 9
Iteration 1685: c = {, s = err, state = 9
Iteration 1686: c = ], s = re, state = 9
Iteration 1687: c =  , s = seteer, state = 9
Iteration 1688: c = a, s = st, state = 9
Iteration 1689: c = x, s = teere, state = 9
Iteration 1690: c = (, s = , state = 9
Iteration 1691: c = {, s = rerse, state = 9
Iteration 1692: c = (, s = ersttr, state = 9
Iteration 1693: c = ], s = t, state = 9
Iteration 1694: c = }, s = trts, state = 9
Iteration 1695: c = ], s = ttetts, state = 9
Iteration 1696: c = ), s = sr, state = 9
Iteration 1697: c =  , s = ttt, state = 9
Iteration 1698: c = ), s = t, state = 9
Iteration 1699: c = ), s = sseeet, state = 9
Iteration 1700: c = [, s = srs, state = 9
Iteration 1701: c =  , s = rester, state = 9
Iteration 1702: c = a, s = srs, state = 9
Iteration 1703: c = x, s = sss, state = 9
Iteration 1704: c = ), s = e, state = 9
Iteration 1705: c = ], s = s, state = 9
Iteration 1706: c = (, s = ers, state = 9
Iteration 1707: c =  , s = t, state = 9
Iteration 1708: c = a, s = r, state = 9
Iteration 1709: c = x, s = , state = 9
Iteration 1710: c = a, s = esrsee, state = 9
Iteration 1711: c = {, s = sese, state = 9
Iteration 1712: c = ), s = rsrtst, state = 9
Iteration 1713: c = [, s = s, state = 9
Iteration 1714: c = {, s = s, state = 9
Iteration 1715: c = {, s = eet, state = 9
Iteration 1716: c = x, s = ettrsr, state = 9
Iteration 1717: c = x, s = t, state = 9
Iteration 1718: c = a, s = tstetr, state = 9
Iteration 1719: c = ), s = t, state = 9
Iteration 1720: c = ), s = e, state = 9
Iteration 1721: c = x, s = , state = 9
Iteration 1722: c = ), s = ssre, state = 9
Iteration 1723: c =  , s = st, state = 9
Iteration 1724: c = [, s = ss, state = 9
Iteration 1725: c = {, s = , state = 9
Iteration 1726: c = x, s = ttsees, state = 9
Iteration 1727: c = x, s = tseret, state = 9
Iteration 1728: c = ), s = ttse, state = 9
Iteration 1729: c =  , s = , state = 9
Iteration 1730: c = a, s = etet, state = 9
Iteration 1731: c = ], s = , state = 9
Iteration 1732: c = }, s = , state = 9
Iteration 1733: c = x, s = sertrs, state = 9
Iteration 1734: c = x, s = erset, state = 9
Iteration 1735: c = {, s = seetrr, state = 9
Iteration 1736: c = {, s = stses, state = 9
Iteration 1737: c = (, s = r, state = 9
Iteration 1738: c = (, s = r, state = 9
Iteration 1739: c = a, s = , state = 9
Iteration 1740: c = [, s = eettre, state = 9
Iteration 1741: c = a, s = eer, state = 9
Iteration 1742: c = ], s = , state = 9
Iteration 1743: c = }, s = treeet, state = 9
Iteration 1744: c = (, s = seeter, state = 9
Iteration 1745: c = {, s = rse, state = 9
Iteration 1746: c = (, s = rstsse, state = 9
Iteration 1747: c = [, s = tsts, state = 9
Iteration 1748: c =  , s = tre, state = 9
Iteration 1749: c = {, s = , state = 9
Iteration 1750: c = x, s = trrrsr, state = 9
Iteration 1751: c = [, s = trsssr, state = 9
Iteration 1752: c = }, s = retrer, state = 9
Iteration 1753: c = {, s = es, state = 9
Iteration 1754: c = }, s = ee, state = 9
Iteration 1755: c = ], s = ttsst, state = 9
Iteration 1756: c = {, s = r, state = 9
Iteration 1757: c = [, s = , state = 9
Iteration 1758: c = a, s = esresr, state = 9
Iteration 1759: c = x, s = stre, state = 9
Iteration 1760: c = x, s = stts, state = 9
Iteration 1761: c = a, s = estrre, state = 9
Iteration 1762: c = [, s = te, state = 9
Iteration 1763: c = }, s = ttt, state = 9
Iteration 1764: c = x, s = rsseer, state = 9
Iteration 1765: c = [, s = , state = 9
Iteration 1766: c = }, s = t, state = 9
Iteration 1767: c = {, s = , state = 9
Iteration 1768: c = ), s = st, state = 9
Iteration 1769: c = x, s = trse, state = 9
Iteration 1770: c = {, s = t, state = 9
Iteration 1771: c = {, s = ete, state = 9
Iteration 1772: c = (, s = e, state = 9
Iteration 1773: c = [, s = ttsst, state = 9
Iteration 1774: c = ), s = , state = 9
Iteration 1775: c = ], s = rtsr, state = 9
Iteration 1776: c = [, s = sr, state = 9
Iteration 1777: c = }, s = rer, state = 9
Iteration 1778: c = {, s = resss, state = 9
Iteration 1779: c =  , s = se, state = 9
Iteration 1780: c = (, s = et, state = 9
Iteration 1781: c = ], s = eesrse, state = 9
Iteration 1782: c = a, s = e, state = 9
Iteration 1783: c =  , s = s, state = 9
Iteration 1784: c = a, s = sre, state = 9
Iteration 1785: c = x, s = , state = 9
Iteration 1786: c = x, s = errsse, state = 9
Iteration 1787: c = {, s = , state = 9
Iteration 1788: c = x, s = ter, state = 9
Iteration 1789: c = ], s = tts, state = 9
Iteration 1790: c =  , s = et, state = 9
Iteration 1791: c = (, s = sreres, state = 9
Iteration 1792: c = x, s = s, state = 9
Iteration 1793: c = [, s = , state = 9
Iteration 1794: c = (, s = , state = 9
Iteration 1795: c = ), s = ssttet, state = 9
Iteration 1796: c = a, s = , state = 9
Iteration 1797: c = x, s = eretr, state = 9
Iteration 1798: c = }, s = eeerr, state = 9
Iteration 1799: c = ), s = , state = 9
Iteration 1800: c = [, s = ssrrrr, state = 9
Iteration 1801: c = [, s = , state = 9
Iteration 1802: c = (, s = etesrt, state = 9
Iteration 1803: c = {, s = esstte, state = 9
Iteration 1804: c = }, s = , state = 9
Iteration 1805: c = {, s = rrtt, state = 9
Iteration 1806: c = [, s = rstese, state = 9
Iteration 1807: c = ), s = etrsee, state = 9
Iteration 1808: c = ), s = tseses, state = 9
Iteration 1809: c = [, s = ess, state = 9
Iteration 1810: c = [, s = sreett, state = 9
Iteration 1811: c = {, s = rrtet, state = 9
Iteration 1812: c =  , s = ttrsee, state = 9
Iteration 1813: c = ], s = ett, state = 9
Iteration 1814: c = ), s = t, state = 9
Iteration 1815: c = ], s = et, state = 9
Iteration 1816: c =  , s = testee, state = 9
Iteration 1817: c = {, s = sestrr, state = 9
Iteration 1818: c = }, s = s, state = 9
Iteration 1819: c = (, s = t, state = 9
Iteration 1820: c = a, s = eersee, state = 9
Iteration 1821: c =  , s = ssrrt, state = 9
Iteration 1822: c = x, s = t, state = 9
Iteration 1823: c = a, s = eeee, state = 9
Iteration 1824: c = [, s = ts, state = 9
Iteration 1825: c = (, s = rr, state = 9
Iteration 1826: c = a, s = sr, state = 9
Iteration 1827: c = x, s = tetsst, state = 9
Iteration 1828: c = x, s = t, state = 9
Iteration 1829: c =  , s = trttee, state = 9
Iteration 1830: c = a, s = t, state = 9
Iteration 1831: c = a, s = , state = 9
Iteration 1832: c = }, s = ssr, state = 9
Iteration 1833: c = ), s = te, state = 9
Iteration 1834: c = a, s = s, state = 9
Iteration 1835: c = }, s = tstset, state = 9
Iteration 1836: c = x, s = et, state = 9
Iteration 1837: c = (, s = sserst, state = 9
Iteration 1838: c = (, s = trsr, state = 9
Iteration 1839: c =  , s = tsr, state = 9
Iteration 1840: c = ), s = e, state = 9
Iteration 1841: c = a, s = s, state = 9
Iteration 1842: c =  , s = , state = 9
Iteration 1843: c = a, s = rsrtrt, state = 9
Iteration 1844: c = {, s = rtses, state = 9
Iteration 1845: c = ), s = , state = 9
Iteration 1846: c = (, s = e, state = 9
Iteration 1847: c = ), s = tsette, state = 9
Iteration 1848: c = x, s = tsrtrs, state = 9
Iteration 1849: c = a, s = seertt, state = 9
Iteration 1850: c = {, s = trtsst, state = 9
Iteration 1851: c = (, s = e, state = 9
Iteration 1852: c = (, s = rst, state = 9
Iteration 1853: c = }, s = , state = 9
Iteration 1854: c = a, s = t, state = 9
Iteration 1855: c = }, s = etsese, state = 9
Iteration 1856: c = x, s = ssreet, state = 9
Iteration 1857: c = }, s = , state = 9
Iteration 1858: c = }, s = t, state = 9
Iteration 1859: c = (, s = srs, state = 9
Iteration 1860: c = ), s = re, state = 9
Iteration 1861: c = {, s = , state = 9
Iteration 1862: c = [, s = esrrtr, state = 9
Iteration 1863: c = ], s = rte, state = 9
Iteration 1864: c = [, s = s, state = 9
Iteration 1865: c = {, s = rs, state = 9
Iteration 1866: c = }, s = sstsr, state = 9
Iteration 1867: c = (, s = trerts, state = 9
Iteration 1868: c = {, s = tt, state = 9
Iteration 1869: c = x, s = , state = 9
Iteration 1870: c = {, s = etttrs, state = 9
Iteration 1871: c =  , s = rrrerr, state = 9
Iteration 1872: c = }, s = esttre, state = 9
Iteration 1873: c = {, s = seerr, state = 9
Iteration 1874: c = }, s = tsster, state = 9
Iteration 1875: c = {, s = esestr, state = 9
Iteration 1876: c = x, s = trttes, state = 9
Iteration 1877: c = ], s = rsesrs, state = 9
Iteration 1878: c =  , s = trssse, state = 9
Iteration 1879: c = }, s = srrste, state = 9
Iteration 1880: c = [, s = srsetr, state = 9
Iteration 1881: c =  , s = teser, state = 9
Iteration 1882: c =  , s = trt, state = 9
Iteration 1883: c =  , s = e, state = 9
Iteration 1884: c = [, s = esr, state = 9
Iteration 1885: c = a, s = s, state = 9
Iteration 1886: c = a, s = estre, state = 9
Iteration 1887: c = a, s = , state = 9
Iteration 1888: c = ], s = stt, state = 9
Iteration 1889: c = {, s = es, state = 9
Iteration 1890: c = (, s = , state = 9
Iteration 1891: c = x, s = r, state = 9
Iteration 1892: c = [, s = sss, state = 9
Iteration 1893: c =  , s = rr, state = 9
Iteration 1894: c = {, s = , state = 9
Iteration 1895: c = ), s = eeer, state = 9
Iteration 1896: c = [, s = ses, state = 9
Iteration 1897: c = ], s = tte, state = 9
Iteration 1898: c = x, s = rrtrrr, state = 9
Iteration 1899: c = ], s = t, state = 9
Iteration 1900: c = x, s = ssets, state = 9
Iteration 1901: c = x, s = rss, state = 9
Iteration 1902: c = {, s = rter, state = 9
Iteration 1903: c = ], s = sreete, state = 9
Iteration 1904: c = ), s = tseers, state = 9
Iteration 1905: c = ], s = eesr, state = 9
Iteration 1906: c = }, s = ttr, state = 9
Iteration 1907: c = ], s = re, state = 9
Iteration 1908: c = {, s = trtser, state = 9
Iteration 1909: c = x, s = rtrsre, state = 9
Iteration 1910: c = ], s = , state = 9
Iteration 1911: c = {, s = r, state = 9
Iteration 1912: c = x, s = , state = 9
Iteration 1913: c = a, s = s, state = 9
Iteration 1914: c = [, s = ess, state = 9
Iteration 1915: c =  , s = sress, state = 9
Iteration 1916: c = {, s = rte, state = 9
Iteration 1917: c = }, s = r, state = 9
Iteration 1918: c = a, s = , state = 9
Iteration 1919: c = ), s = rsese, state = 9
Iteration 1920: c = ), s = , state = 9
Iteration 1921: c = a, s = rtseer, state = 9
Iteration 1922: c = [, s = e, state = 9
Iteration 1923: c = [, s = ssrsre, state = 9
Iteration 1924: c = }, s = e, state = 9
Iteration 1925: c = }, s = trr, state = 9
Iteration 1926: c =  , s = t, state = 9
Iteration 1927: c = ), s = reeere, state = 9
Iteration 1928: c = }, s = r, state = 9
Iteration 1929: c = ), s = eset, state = 9
Iteration 1930: c = ), s = etsett, state = 9
Iteration 1931: c = ), s = terrt, state = 9
Iteration 1932: c = ), s = t, state = 9
Iteration 1933: c = a, s = , state = 9
Iteration 1934: c = (, s = tstrse, state = 9
Iteration 1935: c = a, s = rts, state = 9
Iteration 1936: c = ), s = eettt, state = 9
Iteration 1937: c = ), s = eetttt, state = 9
Iteration 1938: c = a, s = ertrts, state = 9
Iteration 1939: c = a, s = rrer, state = 9
Iteration 1940: c = ], s = r, state = 9
Iteration 1941: c = ), s = s, state = 9
Iteration 1942: c = (, s = rt, state = 9
Iteration 1943: c = [, s = trstts, state = 9
Iteration 1944: c = x, s = ssetts, state = 9
Iteration 1945: c = ), s = sstrs, state = 9
Iteration 1946: c = (, s = r, state = 9
Iteration 1947: c =  , s = res, state = 9
Iteration 1948: c = (, s = rrrs, state = 9
Iteration 1949: c = ), s = errrst, state = 9
Iteration 1950: c = {, s = , state = 9
Iteration 1951: c = (, s = tertee, state = 9
Iteration 1952: c = x, s = s, state = 9
Iteration 1953: c = [, s = s, state = 9
Iteration 1954: c = [, s = eset, state = 9
